Fecha y hora	Nombre de archivo	Error	Mensaje
2016-05-02 17:04:43.752 -0500	Intelisis.fmp12	0	Importación de operaciones iniciada
2016-05-02 17:04:43.788 -0500	Intelisis.fmp12	0	Importación de tablas desde el archivo “ImprimartNom” iniciada
2016-05-02 17:04:43.790 -0500	ImprimartNom	0	campos importados : 2
2016-05-02 17:04:43.790 -0500	Intelisis.fmp12	0	tablas importados : 1
2016-05-02 17:04:43.791 -0500	Intelisis.fmp12	0	Importación completada
2016-05-02 17:04:43.792 -0500	Intelisis.fmp12	0	Importación de operaciones consignada
2016-05-02 17:04:43.793 -0500	Intelisis.fmp12	0	==================================================================
2016-05-03 13:26:21.548 -0500	Intelisis.fmp12	0	Importación de operaciones iniciada
2016-05-03 13:26:21.551 -0500	Intelisis.fmp12	0	Importación de tablas desde el archivo “ImprimartNom” iniciada
2016-05-03 13:26:21.558 -0500	ImprimartNom	0	campos importados : 16
2016-05-03 13:26:21.558 -0500	Intelisis.fmp12	0	tablas importados : 1
2016-05-03 13:26:21.559 -0500	Intelisis.fmp12	0	Importación completada
2016-05-03 13:26:21.560 -0500	Intelisis.fmp12	0	Importación de operaciones consignada
2016-05-03 13:26:21.561 -0500	Intelisis.fmp12	0	==================================================================
2016-05-03 16:27:49.179 -0500	Intelisis.fmp12	0	Importación de operaciones iniciada
2016-05-03 16:27:49.181 -0500	Intelisis.fmp12	0	Importación de tablas desde el archivo “ImprimartNom” iniciada
2016-05-03 16:27:49.182 -0500	ImprimartNom	0	campos importados : 3
2016-05-03 16:27:49.183 -0500	Intelisis.fmp12	0	tablas importados : 1
2016-05-03 16:27:49.183 -0500	Intelisis.fmp12	0	Importación completada
2016-05-03 16:27:49.184 -0500	Intelisis.fmp12	0	Importación de operaciones consignada
2016-05-03 16:27:49.185 -0500	Intelisis.fmp12	0	==================================================================
2016-05-03 17:16:44.770 -0500	Intelisis.fmp12	0	Importación de operaciones iniciada
2016-05-03 17:16:44.772 -0500	Intelisis.fmp12	0	Importación de tablas desde el archivo “ImprimartNom” iniciada
2016-05-03 17:16:44.773 -0500	ImprimartNom	0	campos importados : 3
2016-05-03 17:16:44.777 -0500	Intelisis.fmp12	0	tablas importados : 1
2016-05-03 17:16:44.778 -0500	Intelisis.fmp12	0	Importación completada
2016-05-03 17:16:44.779 -0500	Intelisis.fmp12	0	Importación de operaciones consignada
2016-05-03 17:16:44.779 -0500	Intelisis.fmp12	0	==================================================================
2016-05-03 18:15:06.760 -0500	Intelisis.fmp12	0	Importación de operaciones iniciada
2016-05-03 18:15:06.763 -0500	Intelisis.fmp12	0	Importación de tablas desde el archivo “ImprimartNom” iniciada
